operation,size,time_ns_total,time_ns_per_elem,throughput_mops
tadd,32,1415300.00,44.2281,22.61
tmul,32,1387400.00,43.3563,23.06
tmin,32,1378000.00,43.0625,23.22
tmax,32,1370100.00,42.8156,23.36
tnot,32,1054200.00,32.9438,30.35
tadd,100,1399600.00,13.9960,71.45
tmul,100,1425000.00,14.2500,70.18
tmin,100,1426400.00,14.2640,70.11
tmax,100,1425700.00,14.2570,70.14
tnot,100,1065800.00,10.6580,93.83
tadd,1000,1429300.00,1.4293,699.64
tmul,1000,1485100.00,1.4851,673.36
tmin,1000,1505200.00,1.5052,664.36
tmax,1000,1480400.00,1.4804,675.49
tnot,1000,1133000.00,1.1330,882.61
tadd,10000,2151800.00,0.2152,4647.27
tmul,10000,2191900.00,0.2192,4562.25
tmin,10000,2291500.00,0.2291,4363.95
tmax,10000,2980500.00,0.2980,3355.14
tnot,10000,2453800.00,0.2454,4075.31
tadd,100000,9042500.00,0.0904,11058.89
tmul,100000,8821200.00,0.0882,11336.33
tmin,100000,8178800.00,0.0818,12226.73
tmax,100000,7347100.00,0.0735,13610.81
tnot,100000,5972900.00,0.0597,16742.29
tadd,1000000,33877900.00,0.0339,29517.77
tmul,1000000,33603200.00,0.0336,29759.07
tmin,1000000,34615500.00,0.0346,28888.79
tmax,1000000,33805200.00,0.0338,29581.25
tnot,1000000,28537400.00,0.0285,35041.73
tadd,10000000,2154942200.00,0.2155,4640.50
tmul,10000000,2186063200.00,0.2186,4574.43
tmin,10000000,2177338200.00,0.2177,4592.76
tmax,10000000,2160877700.00,0.2161,4627.75
tnot,10000000,1924463000.00,0.1924,5196.25
